Income (Median family income) by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

State,FIPS,Value (Dollars),Rank within US (of 52 states)
"United States",00000,"96,922","N/A"
"Puerto Rico",72001,"30,876","52"
"Mississippi",28000,"70,821","51"
"Arkansas",05000,"74,536","50"
"West Virginia",54000,"74,981","49"
"New Mexico",35000,"76,143","48"
"Louisiana",22000,"77,568","47"
"Kentucky",21000,"79,436","46"
"Alabama",01000,"80,385","45"
"Oklahoma",40000,"80,611","44"
"South Carolina",45000,"83,579","43"
"Tennessee",47000,"84,212","42"
"Florida",12000,"86,127","41"
"North Carolina",37000,"86,947","40"
"Montana",30000,"88,127","39"
"Indiana",18000,"88,451","38"
"Missouri",29000,"88,759","37"
"Idaho",16000,"89,174","36"
"Nevada",32000,"89,735","35"
"Ohio",39000,"90,288","34"
"Georgia",13000,"90,337","33"
"Michigan",26000,"90,947","32"
"Texas",48000,"91,752","31"
"Arizona",04000,"92,100","30"
"Maine",23000,"93,307","29"
"Kansas",20000,"93,497","28"
"South Dakota",46000,"93,579","27"
"Iowa",19000,"94,472","26"
"Wyoming",56000,"95,206","25"
"Nebraska",31000,"96,902","24"
"Wisconsin",55000,"97,261","23"
"Pennsylvania",42000,"97,349","22"
"Oregon",41000,"98,832","21"
"Vermont",50000,"102,104","20"
"Delaware",10000,"102,219","19"
"North Dakota",38000,"103,383","18"
"Illinois",17000,"103,504","17"
"New York",36000,"105,060","16"
"Utah",49000,"105,513","15"
"Alaska",02900,"108,134","14"
"Rhode Island",44000,"109,979","13"
"California",06000,"110,108","12"
"Minnesota",27000,"111,492","11"
"Virginia",51000,"112,146","10"
"Washington",53000,"114,068","9"
"Colorado",08000,"114,822","8"
"Hawaii",15000,"115,643","7"
"New Hampshire",33000,"118,736","6"
"Connecticut",09000,"120,011","5"
"New Jersey",34000,"123,892","4"
"Maryland",24000,"124,487","3"
"Massachusetts",25000,"128,134","2"
"District of Columbia",11001,"150,381","1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/30/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
