State,Year,Population
Alaska,2020,733017
Alaska,2021,734420
Alaska,2022,734442
Alaska,2023,736510
Alaska,2024,740133
Alabama,2020,5033094
Alabama,2021,5049196
Alabama,2022,5076181
Alabama,2023,5117673
Alabama,2024,5157699
Arkansas,2020,3014546
Arkansas,2021,3026870
Arkansas,2022,3047704
Arkansas,2023,3069463
Arkansas,2024,3088354
Arizona,2020,7187135
Arizona,2021,7274078
Arizona,2022,7377566
Arizona,2023,7473027
Arizona,2024,7582384
California,2020,39521958
California,2021,39142565
California,2022,39142414
California,2023,39198693
California,2024,39431263
Colorado,2020,5787129
Colorado,2021,5814036
Colorado,2022,5850935
Colorado,2023,5901339
Colorado,2024,5957493
Connecticut,2020,3579918
Connecticut,2021,3606607
Connecticut,2022,3617925
Connecticut,2023,3643023
Connecticut,2024,3675069
Delaware,2020,991928
Delaware,2021,1005062
Delaware,2022,1020625
Delaware,2023,1036423
Delaware,2024,1051917
Florida,2020,21592035
Florida,2021,21831949
Florida,2022,22379312
Florida,2023,22904868
Florida,2024,23372215
Georgia,2020,10732888
Georgia,2021,10792060
Georgia,2022,10931805
Georgia,2023,11064432
Georgia,2024,11180878
Hawaii,2020,1451252
Hawaii,2021,1447029
Hawaii,2022,1440359
Hawaii,2023,1441387
Hawaii,2024,1446146
Iowa,2020,3191141
Iowa,2021,3198613
Iowa,2022,3202820
Iowa,2023,3218414
Iowa,2024,3241488
Idaho,2020,1849415
Idaho,2021,1904848
Idaho,2022,1944299
Idaho,2023,1971122
Idaho,2024,2001619
Illinois,2020,12799088
Illinois,2021,12700641
Illinois,2022,12621821
Illinois,2023,12642259
Illinois,2024,12710158
Indiana,2020,6790497
Indiana,2021,6815907
Indiana,2022,6844545
Indiana,2023,6880131
Indiana,2024,6924275
Kansas,2020,2938172
Kansas,2021,2938338
Kansas,2022,2937324
Kansas,2023,2951500
Kansas,2024,2970606
Kentucky,2020,4508318
Kentucky,2021,4507583
Kentucky,2022,4519233
Kentucky,2023,4550595
Kentucky,2024,4588372
Louisiana,2020,4652301
Louisiana,2021,4627971
Louisiana,2022,4593687
Louisiana,2023,4588071
Louisiana,2024,4597740
Massachusetts,1900,2788000
Massachusetts,1901,2794000
Massachusetts,1902,2856000
Massachusetts,1903,2924000
Massachusetts,1904,2969000
Massachusetts,1905,3018000
Massachusetts,1906,3107000
Massachusetts,1907,3183000
Massachusetts,1908,3251000
Massachusetts,1909,3316000
Massachusetts,1910,3365000
Massachusetts,1911,3383000
Massachusetts,1912,3440000
Massachusetts,1913,3534000
Massachusetts,1914,3636000
Massachusetts,1915,3705000
Massachusetts,1916,3726000
Massachusetts,1917,3738000
Massachusetts,1918,3695000
Massachusetts,1919,3785000
Massachusetts,1920,3882000
Massachusetts,1921,3951000
Massachusetts,1922,4010000
Massachusetts,1923,4057000
Massachusetts,1924,4102000
Massachusetts,1925,4154000
Massachusetts,1926,4194000
Massachusetts,1927,4223000
Massachusetts,1928,4217000
Massachusetts,1929,4229000
Massachusetts,1930,4250000
Massachusetts,1931,4248000
Massachusetts,1932,4259000
Massachusetts,1933,4282000
Massachusetts,1934,4305000
Massachusetts,1935,4343000
Massachusetts,1936,4355000
Massachusetts,1937,4358000
Massachusetts,1938,4365000
Massachusetts,1939,4347000
Massachusetts,1940,4318000
Massachusetts,1941,4389000
Massachusetts,1942,4370000
Massachusetts,1943,4257000
Massachusetts,1944,4192000
Massachusetts,1945,4201000
Massachusetts,1946,4494000
Massachusetts,1947,4580000
Massachusetts,1948,4674000
Massachusetts,1949,4741000
Massachusetts,1950,4686000
Massachusetts,1951,4654000
Massachusetts,1952,4650000
Massachusetts,1953,4806000
Massachusetts,1954,4910000
Massachusetts,1955,4882000
Massachusetts,1956,4891000
Massachusetts,1957,4929000
Massachusetts,1958,5010000
Massachusetts,1959,5117000
Massachusetts,1960,5160000
Massachusetts,1961,5219000
Massachusetts,1962,5263000
Massachusetts,1963,5344000
Massachusetts,1964,5448000
Massachusetts,1965,5502000
Massachusetts,1966,5535000
Massachusetts,1967,5594000
Massachusetts,1968,5618000
Massachusetts,1969,5650000
Massachusetts,1970,5689170
Massachusetts,1971,5737580
Massachusetts,1972,5760302
Massachusetts,1973,5781172
Massachusetts,1974,5773548
Massachusetts,1975,5757756
Massachusetts,1976,5743672
Massachusetts,1977,5738199
Massachusetts,1978,5736469
Massachusetts,1979,5738404
Massachusetts,1980,5746075
Massachusetts,1981,5768685
Massachusetts,1982,5771222
Massachusetts,1983,5799407
Massachusetts,1984,5840773
Massachusetts,1985,5880733
Massachusetts,1986,5902678
Massachusetts,1987,5935204
Massachusetts,1988,5979982
Massachusetts,1989,6015478
Massachusetts,1990,6018664
Massachusetts,1991,5998652
Massachusetts,1992,5993474
Massachusetts,1993,6010884
Massachusetts,1994,6031352
Massachusetts,1995,6062335
Massachusetts,1996,6085393
Massachusetts,1997,6115476
Massachusetts,1998,6144407
Massachusetts,1999,6175169
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6566440
Massachusetts,2011,6614218
Massachusetts,2012,6664269
Massachusetts,2013,6715158
Massachusetts,2014,6764864
Massachusetts,2015,6797484
Massachusetts,2016,6827280
Massachusetts,2017,6863560
Massachusetts,2018,6885720
Massachusetts,2019,6894883
Massachusetts,2020,6994598
Massachusetts,2021,7000474
Massachusetts,2022,7022468
Massachusetts,2023,7066568
Massachusetts,2024,7136171
Maryland,1900,1189000
Maryland,1901,1200000
Maryland,1902,1210000
Maryland,1903,1209000
Maryland,1904,1217000
Maryland,1905,1237000
Maryland,1906,1251000
Maryland,1907,1257000
Maryland,1908,1269000
Maryland,1909,1289000
Maryland,1910,1302000
Maryland,1911,1324000
Maryland,1912,1345000
Maryland,1913,1368000
Maryland,1914,1389000
Maryland,1915,1401000
Maryland,1916,1415000
Maryland,1917,1428000
Maryland,1918,1467000
Maryland,1919,1445000
Maryland,1920,1464000
Maryland,1921,1492000
Maryland,1922,1509000
Maryland,1923,1521000
Maryland,1924,1537000
Maryland,1925,1556000
Maryland,1926,1576000
Maryland,1927,1599000
Maryland,1928,1610000
Maryland,1929,1621000
Maryland,1930,1636000
Maryland,1931,1657000
Maryland,1932,1678000
Maryland,1933,1694000
Maryland,1934,1710000
Maryland,1935,1729000
Maryland,1936,1745000
Maryland,1937,1754000
Maryland,1938,1766000
Maryland,1939,1793000
Maryland,1940,1839000
Maryland,1941,1913000
Maryland,1942,1998000
Maryland,1943,2089000
Maryland,1944,2118000
Maryland,1945,2096000
Maryland,1946,2214000
Maryland,1947,2248000
Maryland,1948,2271000
Maryland,1949,2329000
Maryland,1950,2355000
Maryland,1951,2441000
Maryland,1952,2500000
Maryland,1953,2567000
Maryland,1954,2685000
Maryland,1955,2742000
Maryland,1956,2811000
Maryland,1957,2873000
Maryland,1958,2982000
Maryland,1959,3066000
Maryland,1960,3113000
Maryland,1961,3176000
Maryland,1962,3263000
Maryland,1963,3386000
Maryland,1964,3492000
Maryland,1965,3600000
Maryland,1966,3695000
Maryland,1967,3757000
Maryland,1968,3815000
Maryland,1969,3868000
Maryland,1970,3923897
Maryland,1971,4018324
Maryland,1972,4073499
Maryland,1973,4097974
Maryland,1974,4118815
Maryland,1975,4139096
Maryland,1976,4150539
Maryland,1977,4169595
Maryland,1978,4183603
Maryland,1979,4191160
Maryland,1980,4227643
Maryland,1981,4261905
Maryland,1982,4282923
Maryland,1983,4313327
Maryland,1984,4365243
Maryland,1985,4413071
Maryland,1986,4486957
Maryland,1987,4565557
Maryland,1988,4657904
Maryland,1989,4727301
Maryland,1990,4797431
Maryland,1991,4856176
Maryland,1992,4902545
Maryland,1993,4942504
Maryland,1994,4985411
Maryland,1995,5023650
Maryland,1996,5057142
Maryland,1997,5092914
Maryland,1998,5130072
Maryland,1999,5171634
Maryland,2000,5311034
Maryland,2001,5374691
